resid,Female,watchnat,ReadNews,pnintst,Education,income,Voted,prop,infopro,WatchProgram,learnpro,TreatmentGroup,prop_dv,InformationLevel,prop_vote,white,partyid,PoliticalInterest
10054340,0,6,7,3,8,4,1,1,1,1,3,1,0,4,1,1,6,3
10054350,1,7,5,4,11,NA,1,NA,1,0,NA,1,1,4,NA,1,1,4
10054400,1,7,7,4,7,7,1,1,1,0,NA,1,0,4,1,1,2,4
10054510,0,6,6,3,9,6,0,NA,3,1,2,1,1,2,NA,0,5,3
10054630,0,7,7,4,12,11,1,1,1,0,NA,1,0,4,1,1,3,4
10054750,1,2,1,3,8,3,0,NA,2,0,NA,1,1,3,NA,0,NA,3
10055010,1,6,6,4,11,4,1,1,1,1,3,1,0,4,1,1,1,4
10055040,1,6,4,3,11,4,0,NA,3,1,1,1,1,2,NA,1,5,3
10055070,1,7,7,3,9,6,1,1,1,0,NA,1,0,4,1,1,4,3
10055140,1,1,7,2,5,1,NA,NA,3,0,NA,1,1,2,NA,1,4,2
10055190,1,7,7,4,8,8,1,1,2,0,NA,0,0,3,1,1,5,4
10055380,1,4,4,2,11,1,0,NA,4,0,NA,0,1,1,NA,1,2,2
10055410,1,6,5,4,11,11,1,1,1,0,NA,0,0,4,1,1,2,4
10055520,1,7,7,4,13,NA,1,1,2,0,NA,0,0,3,1,1,NA,4
10055530,1,7,7,4,11,3,1,1,1,0,NA,0,0,4,1,1,1,4
10055600,1,7,5,4,9,4,1,1,1,0,NA,0,0,4,1,1,3,4
10055670,1,7,7,3,11,9,1,1,1,1,2,0,0,4,1,1,2,3
10055700,1,7,7,4,12,10,1,1,1,0,NA,0,0,4,1,1,1,4
10055710,1,7,7,3,9,5,1,1,3,0,NA,0,0,2,1,1,7,3
10055840,0,7,6,3,11,3,0,NA,3,0,NA,0,1,2,NA,1,5,3
10055950,0,7,7,4,11,4,1,1,1,0,NA,0,0,4,1,1,2,4
10056150,1,7,7,4,11,9,1,1,2,0,NA,0,0,3,1,1,6,4
10056320,1,7,7,4,9,8,1,1,1,0,NA,0,0,4,1,1,7,4
10056330,0,7,7,4,11,NA,1,1,1,0,NA,0,0,4,1,1,6,4
10056340,1,7,5,3,10,3,1,1,3,1,2,0,0,2,1,0,2,3
10056350,1,6,6,3,7,3,1,1,1,0,NA,0,0,4,1,0,7,3
10056640,0,6,7,4,12,9,1,2,1,0,NA,0,0,4,0,1,3,4
10056820,0,7,7,4,9,6,0,NA,2,0,NA,0,1,3,NA,0,6,4
10056960,1,7,3,2,7,6,1,2,2,0,NA,0,0,3,0,0,2,2
10057030,1,1,7,4,13,4,1,1,1,0,NA,0,0,4,1,0,6,4
10057070,1,7,6,3,11,4,1,1,2,0,NA,0,0,3,1,1,5,3
10057120,1,7,1,2,4,5,1,1,4,0,NA,0,0,1,1,0,2,2
10057300,0,7,7,4,4,2,1,1,1,0,NA,0,0,4,1,0,6,4
10057380,1,6,6,3,8,2,1,1,1,0,NA,0,0,4,1,1,4,3
10057410,0,7,7,4,12,11,1,1,1,0,NA,0,0,4,1,0,2,4
10057470,1,7,6,4,9,NA,1,1,1,1,3,0,0,4,1,1,1,4
10057510,1,7,6,3,11,8,0,NA,3,0,NA,0,1,2,NA,1,2,3
10057620,0,7,7,4,9,7,1,1,1,0,NA,0,0,4,1,1,1,4
10057640,0,7,7,4,11,9,1,1,2,0,NA,0,0,3,1,1,6,4
10057790,0,7,5,4,4,2,1,1,2,0,NA,0,0,3,1,1,1,4
10057800,0,7,5,4,9,NA,1,1,2,0,NA,0,0,3,1,1,1,4
10057860,1,4,2,4,10,9,1,1,2,0,NA,0,0,3,1,1,6,4
10057920,1,7,7,4,7,5,1,1,1,0,NA,0,0,4,1,1,1,4
10057970,0,7,7,4,2,5,0,NA,2,0,NA,0,1,3,NA,0,1,4
10058040,1,7,7,3,9,6,1,1,2,1,1,0,0,3,1,0,6,3
10058060,1,7,7,4,11,3,1,1,1,0,NA,0,0,4,1,1,2,4
10058100,0,7,7,4,11,10,1,1,1,0,NA,0,0,4,1,1,4,4
10058110,0,6,7,4,11,NA,1,1,1,0,NA,0,0,4,1,0,5,4
10058140,1,6,7,3,11,NA,1,1,1,0,NA,0,0,4,1,1,1,3
10058160,1,6,7,4,12,7,1,1,1,0,NA,0,0,4,1,1,1,4
10058170,1,7,4,3,4,4,0,NA,1,0,NA,0,1,4,NA,0,7,3
10058230,0,6,4,3,4,11,1,1,2,0,NA,0,0,3,1,1,1,3
10058420,1,7,7,4,9,8,1,1,1,0,NA,0,0,4,1,1,6,4
10058530,1,4,6,3,4,4,1,1,1,0,NA,0,0,4,1,1,1,3
