resid,Female,watchnat,ReadNews,pnintst,Education,income,Voted,prop,infopro,WatchProgram,learnpro,TreatmentGroup,prop_dv,InformationLevel,prop_vote,white,partyid,PoliticalInterest
10039590,0,4,4,2,7,6,1,1,2,1,2,1,0,3,1,1,6,2
10039640,1,6,7,3,12,11,1,1,1,0,NA,0,0,4,1,1,6,3
10039740,1,5,7,4,13,10,1,1,2,0,NA,0,0,3,1,0,1,4
10039750,1,6,1,3,6,4,1,1,1,1,2,1,0,4,1,0,2,3
10039820,1,7,5,3,11,5,1,1,2,0,NA,0,0,3,1,1,6,3
10039830,0,1,1,1,11,7,0,NA,-2,0,NA,1,1,NA,NA,1,2,1
10039840,0,6,7,4,13,9,1,1,2,0,NA,1,0,3,1,0,6,4
10039940,1,1,1,3,11,11,1,1,2,0,NA,0,0,3,1,0,6,3
10039970,0,6,6,3,12,9,0,NA,3,1,3,1,1,2,NA,0,6,3
10040000,1,5,7,3,NA,NA,1,1,1,0,NA,0,0,4,1,0,1,3
10040080,1,6,7,4,10,6,1,1,2,0,NA,0,0,3,1,1,7,4
10040100,0,7,5,3,9,6,1,1,1,0,NA,0,0,4,1,1,7,3
10040130,1,7,1,4,11,9,1,1,3,0,NA,1,0,2,1,0,4,4
10040240,0,7,1,2,9,7,0,NA,3,0,NA,0,1,2,NA,0,2,2
10040290,0,5,7,3,11,9,0,NA,1,1,2,1,1,4,NA,0,6,3
10040300,1,7,7,3,9,6,0,NA,3,0,NA,0,1,2,NA,1,NA,3
10040310,1,7,7,4,9,4,1,1,1,1,2,1,0,4,1,1,1,4
10040320,1,3,3,2,11,5,1,1,1,0,NA,0,0,4,1,1,6,2
10040360,0,7,6,3,9,2,1,1,1,0,NA,0,0,4,1,1,6,3
10040490,1,7,7,4,4,8,1,1,1,0,NA,1,0,4,1,1,2,4
10040510,1,6,6,3,9,11,1,1,2,1,2,1,0,3,1,0,7,3
10040530,0,7,7,3,11,10,NA,NA,-1,0,NA,1,1,NA,NA,1,6,3
10040540,1,6,5,3,9,8,0,NA,2,0,NA,0,1,3,NA,1,7,3
10040620,0,7,7,4,4,NA,1,NA,1,0,NA,0,1,4,NA,1,4,4
10040640,0,7,7,4,9,5,1,1,1,0,NA,0,0,4,1,1,5,4
10040820,0,6,1,4,9,5,0,NA,2,0,NA,0,1,3,NA,1,1,4
10040920,1,6,7,4,2,8,1,1,2,0,NA,0,0,3,1,1,6,4
10041050,1,7,3,4,11,6,1,2,2,1,2,1,0,3,0,0,6,4
10041160,0,7,7,4,11,5,1,2,1,0,NA,0,0,4,0,1,7,4
10041170,0,7,7,1,11,8,1,1,2,0,NA,1,0,3,1,1,NA,1
10041180,1,6,5,2,9,5,1,1,3,0,NA,0,0,2,1,1,2,2
10041190,1,5,7,4,9,6,1,1,2,1,4,1,0,3,1,1,1,4
10041240,1,7,7,3,5,4,1,1,1,0,NA,0,0,4,1,1,2,3
10041270,1,7,5,4,10,3,1,1,1,0,NA,1,0,4,1,1,1,4
10041320,0,6,6,2,7,5,1,1,1,0,NA,0,0,4,1,1,1,2
10041350,0,7,7,3,12,NA,1,1,1,0,NA,1,0,4,1,1,1,3
10041380,1,7,1,3,8,NA,0,NA,-2,0,NA,0,1,NA,NA,1,3,3
10041400,1,6,7,4,4,2,1,1,1,1,3,0,0,4,1,1,5,4
10041460,1,5,7,4,10,4,1,1,2,0,NA,0,0,3,1,1,1,4
10041490,1,7,7,3,11,1,1,1,1,1,2,1,0,4,1,1,6,3
10041680,0,6,7,3,11,9,1,2,2,0,NA,0,0,3,0,1,2,3
10041810,1,6,7,3,12,11,NA,NA,-2,0,NA,1,1,NA,NA,1,6,3
10041880,1,6,5,4,12,10,1,1,2,0,NA,0,0,3,1,1,2,4
10041910,0,4,3,3,11,2,0,NA,2,0,NA,1,1,3,NA,1,6,3
10041970,0,6,6,3,4,3,1,1,2,0,NA,1,0,3,1,1,5,3
10041990,1,7,7,4,11,3,0,NA,1,1,2,1,1,4,NA,1,1,4
