zip,median,pop,score,contact
01740,125741,4125,65.7,18
01741,155000,4798,76.1,17
01742,119902,17075,65,18
01745,114761,331,74.8,18
01746,101901,13866,47.1,12
01747,97227,5815,59.8,18
01748,121182,13318,63.3,19
01749,76500,18081,38.6,12
01752,71835,36273,28.9,7
01754,76228,10414,39.3,9
01756,102625,5257,55,13
01757,68565,26877,28.5,10
01760,90673,31763,36.5,11
01770,145250,4245,93.6,19
01772,141459,8435,77.5,22
01773,143771,5143,83.4,21
01775,117440,5902,71.7,15
01776,152789,16826,77.3,22
01778,140652,13191,92,23
01801,71805,37213,30.4,7
01803,90659,22954,48.7,13
01810,113874,31228,58.4,15
01821,87745,29306,37,9
01824,99032,25234,55.1,16
01826,71731,28728,37.3,9
01827,113594,2847,50,13
01830,63388,24320,38.6,12
01832,57959,21246,33.9,6
01833,97895,7356,49.3,14
01834,84232,6027,34.3,11
01835,76253,13426,50.2,15
01840,18507,4350,1.7,0
01841,34128,44474,26.6,9
01843,42587,23184,24.6,6
01844,66023,43770,38.5,12
01845,99505,27203,49.3,13
01850,54087,15688,29.2,6
01851,51795,29549,25.4,6
01852,55089,32848,19.9,6
01854,44616,26785,19,6
01860,75517,6145,31.5,9
01862,86304,10097,50.6,16
01863,77458,8558,40.9,14
01864,97574,13849,44.3,14
01867,103358,23657,53.9,17
01876,83976,28599,46.1,15
01879,92239,11092,51.6,15
01880,89830,24610,53.1,13
01886,123906,20811,78.3,21
01887,97107,21279,53.5,15
01890,128546,20806,74.3,17
01901,18257,1630,9.3,4
01902,38107,45617,10.1,1
01904,69263,17916,40.4,13
01905,42449,23905,21.3,7
01906,69051,26160,33.3,8
01907,90516,14463,49,15
01913,73843,16447,40.9,9
01915,71363,39854,45.2,15
01921,143045,7903,86.6,21
01922,91052,3041,38.1,8
01923,76695,25239,47.2,14
01929,76989,3272,29.5,10
01930,63047,30261,23.9,3
01938,82395,12981,40.5,9
01940,90677,11926,37.9,12
01944,105000,5234,68.6,15
01945,95942,20370,56.1,17
01949,87728,7748,34.8,8
01950,76313,17249,39.6,13
01951,91052,3622,51.3,17
01952,62924,7819,30.9,7
01960,67119,47991,30.6,10
01966,73676,7762,33.7,7
01969,74911,5504,36.3,9
01970,57313,40268,19.6,6
01982,97491,8299,59.2,15
01983,115015,6132,56,18
01984,132697,4451,79.7,19
01985,111739,4160,71.2,16
02019,77420,15248,42.2,14
02021,88829,20755,53,12
02025,114214,7255,72.9,21
02026,85131,23478,47,13
02030,164583,5561,93,21
02032,77708,3576,30.1,5
02035,94994,16163,61.3,18
02038,92042,29553,50.9,12
02043,99910,19867,46.3,11
02045,70039,11047,28.4,8
02047,75170,247,39.9,10
02048,93593,22393,42.9,12
02050,85395,24577,34,7
02052,123176,12254,56.2,13
02053,100950,12503,56.9,13
02054,85472,7892,39.3,8
02056,111767,10608,57.4,14
02061,106730,9785,61.9,14
02062,72935,28563,33.8,6
02066,92394,17349,50.3,14
02067,117828,17425,64.2,14
02071,91781,956,49.5,12
02072,69340,27342,45.4,12
02081,92954,18430,50.8,14
02090,116083,14150,72.2,16
02093,94524,10446,43.9,15
02108,96033,3324,45.6,11
02109,92310,3278,51.6,12
02110,102972,1606,51.2,12
02111,31442,4948,6.8,4
02113,60386,6453,28,5
02114,69809,11170,38.7,10
02115,30282,25637,6.2,-1
02116,80153,19480,31,5
02118,51368,22527,23.4,9
02119,36316,23537,25,5
02120,28794,11553,22.4,6
02121,28897,24772,22.6,7
02122,45859,24385,30.7,10
02124,43598,51236,20.3,4
02125,44266,32937,21.8,5
02126,51733,27685,30.2,9
02127,64285,29457,31.1,6
02128,42613,38185,21.5,3
02129,80223,15195,39,10
02130,69576,34961,27,7
02131,62945,30491,25.2,5
02132,76802,25943,50,12
02134,33863,19641,19.8,4
02135,52714,41833,34.4,11
02136,54410,26418,22.2,4
02138,68127,34994,28.6,6
02139,62821,35273,31.5,7
02140,65283,17158,30.5,5
02141,57909,12010,30,5
02142,61141,1823,33.6,7
02143,64966,24864,34,11
02144,68004,24248,31.5,8
02145,50718,26833,28.5,6
02148,55890,56273,19.4,3
02149,49696,38109,33,6
02150,40344,34956,25.2,4
02151,51723,47323,33.8,10
02152,68218,18303,36.7,11
02155,69803,57291,25.6,5
02163,23429,929,1.8,-1
02169,56647,52278,34.4,7
02170,64309,19203,42.3,10
02171,66808,16610,23.7,3
02176,85681,27173,47.7,12
02180,78103,22116,44.1,15
02184,77129,33731,35.4,10
02186,98712,26112,58.3,15
02188,65251,13828,38,12
02189,62491,14455,26.8,8
02190,74205,16780,29.9,9
02191,68143,8916,25.6,7
02199,68080,1004,42.8,14
02203,106602,1,53.4,14
02210,61807,413,21.5,4
02215,30726,21896,19.1,6
02301,48470,61459,18.1,6
02302,62408,32523,40.7,15
02322,67313,4483,33.7,10
02324,80879,22922,42,13
02330,70048,11169,32.8,8
02332,116904,14241,76.2,17
02333,82133,13012,40.6,13
02339,104787,13171,46.4,10
02341,81912,9550,39.3,7
02343,62560,10705,26.2,5
02346,72466,19926,33,6
02347,94495,9810,54.4,13
02351,75850,14614,31.9,10
02356,99682,12966,55.8,12
02357,101136,323,47.2,12
02359,83622,16907,37,8
02360,74603,51563,38.9,12
02364,78923,11805,37.9,11
02366,89632,126,48.3,14
02367,87917,2622,49.8,15
02368,65118,30999,32.3,8
02370,62855,17665,24.6,8
02375,78410,9034,30.2,5
02379,73651,6610,42.5,12
02382,77027,13867,30.6,10
02420,139453,14109,77.6,18
02421,126827,16360,72.9,20
02445,105027,21282,49.9,12
02446,67338,24351,33.2,8
02451,78675,17553,49.1,14
02452,67088,12642,28.2,5
02453,59067,29043,21.6,5
02457,179792,551,108.1,24
02458,90740,12603,59.9,18
02459,128598,18940,68.3,18
02460,107495,8772,69.2,20
02461,110373,6599,54.8,13
02462,134119,1679,66.9,20
02464,81143,2958,36.2,9
02465,110531,11789,61.9,17
02466,115116,7010,75.4,21
02467,130044,15408,69.5,16
02468,166454,5429,90.2,19
02472,74968,32913,48.7,14
02474,82845,25806,48.2,13
02476,83975,16533,39.8,8
02478,95269,24296,47.8,13
02481,173681,14503,99.7,21
02482,123003,11569,79,17
02492,118211,20064,67.7,18
