GOP2party2010,Ideology,ChildPoverty,MedianIncome,Obama2008,WhitePct
1,0.46000000834465027,0.27000001072883606,39597,0.38999998569488525,0.6800000071525574
0.5109999775886536,0.4429999887943268,0.28999999165534973,37289,0.36000001430511475,0.6700000166893005
0.5950000286102295,0.4259999990463257,0.25,38079,0.4300000071525574,0.6499999761581421
1,0.46700000762939453,0.25999999046325684,35719,0.23000000417232513,0.8999999761581421
0.5799999833106995,0.796999990940094,0.1899999976158142,43832,0.3799999952316284,0.7799999713897705
1,0.5860000252723694,0.11999999731779099,56552,0.23000000417232513,0.8899999856948853
0.2750000059604645,-0.3059999942779541,0.3700000047683716,31934,0.7200000286102295,0.36000001430511475
0.6930000185966492,0.5109999775886536,0.12999999523162842,64333,0.3799999952316284,0.6800000071525574
0.5320000052452087,0.7260000109672546,0.2800000011920929,42418,0.4399999976158142,0.5799999833106995
0.6759999990463257,0.8550000190734863,0.14000000059604645,52428,0.3799999952316284,0.7799999713897705
0.5590000152587891,0.8240000009536743,0.1899999976158142,57080,0.41999998688697815,0.7900000214576721
0.2919999957084656,-0.45399999618530273,0.41999998688697815,36884,0.6600000262260437,0.28999999165534973
0.5460000038146973,0.8889999985694885,0.15000000596046448,61227,0.4699999988079071,0.7699999809265137
0.6949999928474426,1.0130000114440918,0.15000000596046448,59112,0.3799999952316284,0.7599999904632568
0.46799999475479126,-0.5860000252723694,0.3100000023841858,38675,0.5699999928474426,0.38999998569488525
0.492000013589859,NA,0.1599999964237213,49647,0.46000000834465027,0.7400000095367432
NA,-0.25699999928474426,NA,NA,NA,NA
0.5440000295639038,0.42100000381469727,0.3199999928474426,33607,0.3799999952316284,0.800000011920929
0.6019999980926514,0.5740000009536743,0.23000000417232513,43217,0.4399999976158142,0.7599999904632568
0.7239999771118164,0.41200000047683716,0.25,40714,0.3400000035762787,0.8700000047683716
0.41100001335144043,-0.09000000357627869,0.30000001192092896,34612,0.38999998569488525,0.7099999785423279
0.3310000002384186,-0.4180000126361847,0.18000000715255737,50160,0.6600000262260437,0.7099999785423279
0.5720000267028809,0.7310000061988831,0.20000000298023224,42245,0.4300000071525574,0.7599999904632568
0.5370000004768372,0.7120000123977661,0.12999999523162842,66347,0.49000000953674316,0.7400000095367432
0.6610000133514404,0.9940000176429749,0.10999999940395355,60774,0.4399999976158142,0.8399999737739563
0.25999999046325684,-0.42800000309944153,0.30000001192092896,47868,0.699999988079071,0.4300000071525574
0.3100000023841858,-0.6710000038146973,0.10000000149011612,69039,0.7599999904632568,0.7599999904632568
0.31700000166893005,-0.6570000052452087,0.17000000178813934,62893,0.7200000286102295,0.4300000071525574
0.1589999943971634,-0.39800000190734863,0.15000000596046448,63525,0.8500000238418579,0.4300000071525574
0.11400000005960464,-0.6940000057220459,0.20999999344348907,51878,0.8799999952316284,0.3499999940395355
0.39100000262260437,-0.3840000033378601,0.11999999731779099,79769,0.6499999761581421,0.6499999761581421
0.49399998784065247,-0.22499999403953552,0.10000000149011612,77111,0.5400000214576721,0.6399999856948853
0.22699999809265137,-0.47999998927116394,0.05000000074505806,85303,0.7400000095367432,0.47999998927116394
0.27799999713897705,-0.7149999737739563,0.10000000149011612,76267,0.7400000095367432,0.3799999952316284
0.2879999876022339,-0.36899998784065247,0.10000000149011612,92091,0.7300000190734863,0.6000000238418579
0.3240000009536743,-0.5619999766349792,0.07999999821186066,84814,0.6800000071525574,0.4699999988079071
0.2639999985694885,-0.41999998688697815,0.18000000715255737,73368,0.699999988079071,0.3199999928474426
0.3100000023841858,-0.5070000290870667,0.23999999463558197,58809,0.7200000286102295,0.46000000834465027
0.41499999165534973,-0.2329999953508377,0.33000001311302185,43101,0.5899999737739563,0.38999998569488525
0.6470000147819519,0.5720000267028809,0.23000000417232513,52143,0.46000000834465027,0.6000000238418579
0.4819999933242798,-0.19200000166893005,0.4000000059604645,36021,0.6000000238418579,0.20999999344348907
1,0.7110000252723694,0.28999999165534973,45747,0.41999998688697815,0.46000000834465027
1,0.6520000100135803,0.2199999988079071,56910,0.3799999952316284,0.6700000166893005
0.39399999380111694,-0.45100000500679016,0.20000000298023224,52641,0.6600000262260437,0.49000000953674316
0.6000000238418579,0.5899999737739563,0.11999999731779099,77698,0.5099999904632568,0.6800000071525574
0.6190000176429749,0.6200000047683716,0.23000000417232513,60348,0.49000000953674316,0.5699999928474426
0.5979999899864197,0.5979999899864197,0.07999999821186066,75675,0.5099999904632568,0.5199999809265137
0.3479999899864197,-0.39100000262260437,0.1899999976158142,57218,0.6600000262260437,0.44999998807907104
0.24300000071525574,-0.33899998664855957,0.25999999046325684,51316,0.7599999904632568,0.3100000023841858
0.3310000002384186,-0.3230000138282776,0.14000000059604645,59777,0.6800000071525574,0.38999998569488525
0.33000001311302185,-0.46399998664855957,0.05999999865889549,79149,0.699999988079071,0.7599999904632568
0.16099999845027924,-0.4339999854564667,0.3799999952316284,35244,0.800000011920929,0.10000000149011612
0.289000004529953,-0.5019999742507935,0.23000000417232513,50580,0.6800000071525574,0.15000000596046448
0.13899999856948853,-0.5320000052452087,0.30000001192092896,41967,0.8700000047683716,0.20000000298023224
0.22699999809265137,-0.40700000524520874,0.33000001311302185,37499,0.75,0.10999999940395355
0.20600000023841858,-0.593999981880188,0.30000001192092896,39509,0.8399999737739563,0.10000000149011612
0.36800000071525574,-0.3100000023841858,0.17000000178813934,67257,0.6399999856948853,0.47999998927116394
NA,-0.46000000834465027,NA,NA,NA,NA
0.2529999911785126,-0.32600000500679016,0.28999999165534973,44648,0.800000011920929,0.17000000178813934
