Team,WinPct,FiredCoach,Year
Seahawks,75,0,2020
Rams,62.5,0,2020
Cardinals,50,0,2020
49ers,37.5,0,2020
Saints,75,0,2020
Buccaneers,68.8,0,2020
Panthers,31.3,0,2020
Falcons,25,1,2020
Football Team,43.8,0,2020
Giants,37.5,0,2020
Cowboys,37.5,0,2020
Eagles,28.1,1,2020
Packers,81.3,0,2020
Bears,50,0,2020
Vikings,43.8,0,2020
Lions,31.3,1,2020
Titans,68.8,0,2020
Colts,68.8,0,2020
Texans,25,1,2020
Jaguars,6.3,1,2020
Bills,81.3,0,2020
Dolphins,62.5,0,2020
Patriots,43.8,0,2020
Jets,12.5,1,2020
Steelers,75,0,2020
Ravens,68.8,0,2020
Browns,68.8,0,2020
Bengals,28.1,0,2020
Chiefs,87.5,0,2020
Raiders,50,0,2020
Chargers,43.8,1,2020
Broncos,31.3,0,2020
Seahawks,41.2,0,2021
Rams,76.2,0,2021
Cardinals,61.1,0,2021
49ers,60,0,2021
Saints,52.9,0,2021
Buccaneers,73.7,0,2021
Panthers,29.4,0,2021
Falcons,41.2,0,2021
Football Team,41.2,0,2021
Giants,23.5,1,2021
Cowboys,66.7,0,2021
Eagles,50,0,2021
Packers,72.2,0,2021
Bears,35.3,1,2021
Vikings,47.1,1,2021
Lions,18.8,0,2021
Titans,66.7,0,2021
Colts,52.9,0,2021
Texans,23.5,1,2021
Jaguars,17.7,1,2021
Bills,63.2,0,2021
Dolphins,52.9,1,2021
Patriots,55.6,0,2021
Jets,23.5,0,2021
Steelers,52.9,0,2021
Ravens,47.1,0,2021
Browns,47.1,0,2021
Bengals,61.9,0,2021
Chiefs,70,0,2021
Raiders,55.6,1,2021
Chargers,52.9,0,2021
Broncos,41.2,1,2021
