StudentID,InCollege,Georgia,Age,StateCode,Year
1,1,0,19,56,89
2,1,0,19,56,89
3,1,0,18,56,89
4,1,0,19,56,89
5,0,0,19,56,89
6,1,0,18,56,89
7,0,0,19,56,89
8,0,0,18,56,89
9,0,0,19,56,89
10,1,0,19,56,89
11,1,0,18,56,89
12,0,0,18,56,89
13,0,0,18,56,89
14,0,0,18,56,89
15,1,0,19,56,89
16,1,0,19,56,89
17,0,0,18,56,89
18,1,0,18,56,89
19,0,0,18,56,89
20,0,0,19,56,89
21,1,0,19,56,89
22,0,0,18,56,89
23,1,0,19,56,89
24,0,0,19,56,89
25,1,0,18,56,89
26,0,0,19,56,89
27,0,0,19,56,89
28,1,0,18,56,89
29,1,0,18,56,89
30,1,0,18,56,89
31,1,0,19,56,89
32,1,0,19,56,89
33,0,0,19,56,89
34,0,0,18,56,89
35,0,0,19,56,89
36,0,0,19,56,89
37,0,0,18,56,89
38,1,0,19,56,89
39,0,0,18,56,89
40,1,0,19,56,89
41,0,0,18,56,89
42,1,0,19,56,89
43,1,0,18,56,89
44,0,0,19,56,89
45,0,0,18,56,89
46,1,0,19,56,89
47,1,0,19,56,89
48,1,0,18,56,89
49,0,0,19,56,89
50,0,0,18,56,89
51,0,0,18,56,89
52,1,0,18,56,89
53,1,0,18,56,89
54,0,0,19,56,89
55,0,0,19,56,89
56,0,0,18,56,89
57,0,0,18,56,89
58,1,0,18,56,89
59,0,0,18,56,89
60,0,0,18,56,89
61,1,0,18,56,89
62,0,0,18,56,89
63,0,0,18,56,89
64,1,0,19,56,89
65,0,0,18,56,89
66,0,0,19,56,89
67,1,0,18,56,89
68,0,0,19,56,89
69,1,0,19,56,89
70,0,0,18,56,89
71,0,0,18,56,89
72,1,0,19,56,89
73,1,0,18,56,89
74,0,0,18,56,89
75,1,0,19,56,89
76,0,0,18,56,89
77,0,0,18,56,89
78,0,0,19,56,89
79,1,0,19,56,89
80,1,0,19,56,89
81,1,0,19,56,89
82,1,0,19,56,89
83,1,0,19,56,89
84,0,0,18,56,89
85,1,0,18,56,89
86,1,0,18,56,89
87,1,0,19,56,89
88,1,0,19,56,89
89,1,0,19,56,89
90,0,0,18,56,89
91,0,0,18,56,89
92,1,0,19,56,89
93,0,0,18,56,89
94,1,0,18,56,89
95,0,0,18,56,89
96,0,0,18,56,89
97,1,0,19,56,89
98,0,0,18,56,89
99,1,0,19,56,89
100,0,0,18,56,89
101,1,0,18,56,89
102,1,0,19,56,89
103,0,0,18,56,89
104,1,0,19,56,89
105,0,0,19,56,89
106,0,0,19,56,89
107,1,0,19,56,89
108,0,0,18,56,89
109,1,0,19,56,89
110,0,0,18,56,89
111,0,0,19,56,89
112,1,0,19,56,89
113,1,0,18,56,89
114,1,0,18,56,89
115,0,0,19,56,89
116,0,0,18,56,89
117,0,0,18,56,89
118,1,0,19,56,89
119,0,0,18,56,89
120,0,0,19,56,89
121,1,0,19,56,89
122,0,0,18,56,89
123,0,0,19,56,89
124,1,0,19,56,89
125,0,0,19,56,89
126,1,0,19,56,89
127,0,0,18,56,89
128,0,0,18,56,89
129,1,0,18,56,89
130,0,0,18,56,89
131,0,0,18,56,89
132,0,0,19,56,89
133,1,0,19,56,89
134,1,0,18,56,89
135,1,0,19,56,89
136,0,0,18,56,89
137,0,0,18,56,89
138,0,0,18,56,89
139,1,0,18,56,89
140,1,0,18,56,89
141,0,0,18,56,89
142,0,0,18,56,89
143,1,0,19,56,89
144,1,0,19,56,89
145,0,0,19,56,89
146,0,0,19,56,89
147,0,0,19,56,89
148,1,0,18,56,89
149,0,0,18,56,89
150,0,0,19,56,89
151,0,0,19,56,89
152,0,0,18,56,89
153,0,0,19,56,89
154,1,0,19,56,89
155,0,0,19,56,89
156,1,0,18,56,89
157,0,0,18,56,89
158,0,0,19,56,89
159,1,0,19,56,89
160,0,0,19,56,89
161,1,0,18,56,89
162,0,0,18,56,89
163,0,0,19,56,89
164,1,0,19,56,89
165,1,0,18,56,89
166,1,0,19,56,89
167,0,0,18,56,89
168,0,0,18,56,89
169,1,0,18,56,89
170,0,0,18,56,89
171,1,0,18,56,89
172,0,0,18,56,89
173,1,0,18,56,89
174,0,0,19,56,89
175,1,0,18,56,89
176,1,0,18,56,89
177,0,0,18,56,89
178,1,0,19,56,89
179,0,0,19,56,89
180,0,0,18,56,89
181,0,0,18,56,89
182,0,0,18,56,89
183,1,0,19,56,89
184,1,0,18,56,89
185,0,0,18,56,89
186,1,0,18,56,89
187,0,0,18,56,89
188,0,0,19,56,89
189,0,0,18,56,89
190,1,0,19,56,89
191,1,0,18,56,89
192,1,0,19,56,89
193,0,0,18,56,89
194,1,0,18,56,89
195,0,0,19,56,89
196,1,0,19,56,89
197,1,0,18,56,90
198,1,0,18,56,90
199,0,0,18,56,90
200,1,0,19,56,90
201,0,0,18,56,90
202,1,0,18,56,90
203,0,0,19,56,90
204,1,0,18,56,90
205,1,0,18,56,90
206,0,0,18,56,90
207,0,0,19,56,90
208,0,0,19,56,90
209,1,0,18,56,90
210,1,0,18,56,90
211,1,0,19,56,90
212,0,0,18,56,90
213,1,0,19,56,90
214,0,0,19,56,90
