DistNumber,Year,CycleSwitch,AfterSwitch,AvgSalary
4807800,2005,0,0,43235.51296
4807800,2006,0,0,44028.17247
4807800,2007,0,1,42878.88679
4807800,2008,0,1,41346.009
4807800,2009,0,1,42635.8182
4807830,2003,1,0,51618.0345
4807830,2004,1,0,51101.63684
4807830,2005,1,0,50468.00685
4807830,2006,1,0,51838.25133
4807830,2007,1,1,51418.60918
4807830,2008,1,1,51389.97977
4807830,2009,1,1,51982.65927
4807890,2003,0,0,48060.10211
4807890,2004,0,0,48258.46604
4807890,2005,0,0,47582.70202
4807890,2006,0,0,48599.96167
4807890,2007,0,1,49072.30914
4807890,2008,0,1,49326.99274
4807890,2009,0,1,50226.87567
4807950,2003,0,0,43261.90988
4807950,2004,0,0,41574.66627
4807950,2005,0,0,40800.10033
4807950,2006,0,0,42414.8328
4807950,2007,0,1,42162.00867
4807950,2008,0,1,41551.9934
4807950,2009,0,1,43056.76905
4807980,2003,0,0,41815.79249
4807980,2004,0,0,39151.02808
4807980,2005,0,0,38520.89677
4807980,2006,0,0,40249.26812
4807980,2007,0,1,41566.69765
4807980,2008,0,1,41119.98183
4807980,2009,0,1,42712.69545
4808090,2003,0,0,47499.64137
4808090,2004,0,0,48143.36229
4808090,2005,0,0,47138.31209
4808090,2006,0,0,48509.85106
4808090,2007,0,1,46850.58529
4808090,2008,0,1,46879.01052
4808090,2009,0,1,49031.23682
4808100,2003,0,0,43586.00112
4808100,2004,0,0,42878.805
4808100,2005,0,0,42855.9931
4808100,2006,0,0,46148.1697
4808100,2007,0,1,46187.26742
4808100,2008,0,1,44586.00947
4808100,2009,0,1,45885.38692
4808130,2003,0,0,46396.34872
4808130,2004,0,0,45332.08263
4808130,2005,0,0,44514.80198
4808130,2006,0,0,45869.37366
4808130,2007,0,1,46432.37976
4808130,2008,0,1,46064.01077
4808130,2009,0,1,47501.63458
4808160,2003,0,0,39637.27997
4808160,2004,0,0,38294.86228
4808160,2005,0,0,35833.58747
4808160,2006,0,0,40546.07279
4808160,2007,0,1,39378.96134
4808160,2008,0,1,36740.00428
4808160,2009,0,1,37420.96476
4808190,2003,0,0,42681.58601
4808190,2004,0,0,41518.79919
4808190,2005,0,0,41053.09616
4808190,2006,0,0,44295.27069
4808190,2007,0,1,43083.87859
4808190,2008,0,1,44378.01795
4808190,2009,0,1,44844.04501
4808230,2003,0,0,40952.32718
4808230,2004,0,0,40538.4173
4808230,2005,0,0,40653.78929
4808230,2006,0,0,41900.74042
4808230,2007,0,1,40776.68322
4808230,2008,0,1,42173.9926
4808230,2009,0,1,43532.37134
4808280,2003,0,0,51481.16888
4808280,2004,0,0,49873.85313
4808280,2005,0,0,48065.60247
4808280,2006,0,0,52994.68231
4808280,2007,0,1,52556.80623
4808280,2008,0,1,55115.00055
4808280,2009,0,1,56547.25805
4808310,2003,0,0,48219.2245
4808310,2004,0,0,47800.1971
4808310,2005,0,0,47327.50004
4808310,2006,0,0,49338.75462
4808310,2007,0,1,50093.0299
4808310,2008,0,1,49003.98342
4808310,2009,0,1,50411.72611
4808340,2003,0,0,42822.0022
4808340,2004,0,0,42470.69047
4808340,2005,0,0,42418.19028
4808340,2006,0,0,43540.5507
4808340,2007,0,1,42350.52575
4808340,2008,0,1,42797.01649
4808340,2009,0,1,44431.24882
4808400,2003,1,0,36086.29947
